time	label
27500	0
58750	0
90000	0
121250	0
152500	0
183750	0
215000	0
246250	0
277500	0
308750	0
340000	0
371250	0
402500	0
433750	0
465000	0
496250	0
527500	0
558750	0
590000	0
621250	0
652500	0
683750	0
715000	0
746250	0
777500	0
808750	0
840000	0
871250	0
902500	0
933750	0
965000	0
996250	0
1027500	0
1058750	0
1090000	0
1121250	0
1152500	0
1183750	0
1215000	0
1246250	0
1277500	0
1308750	0
1340000	0
1371250	0
1402500	0
1433750	0
1465000	0
1496250	0
1527500	0
1558750	0
1590000	0
1621250	0
1652500	0
1683750	0
1715000	0
1746250	0
1777500	0
1808750	0
1840000	0
1871250	0
1902500	0
1933750	0
1965000	0
1996250	0
2027500	0
2058750	0
2090000	0
2121250	0
2152500	0
2183750	0
2215000	0
2246250	0
2277500	0
2308750	0
2340000	0
2371250	0
2402500	0
2433750	0
2465000	0
2496250	0
2527500	0
2558750	0
2590000	0
2621250	0
2652500	0
2683750	0
2715000	0
2746250	0
2777500	0
2808750	0
2840000	0
2871250	0
2902500	0
2933750	0
2965000	0
2996250	0
3027500	0
3058750	0
3090000	0
3121250	0
3152500	0
3183750	0
3215000	0
3246250	0
3277500	0
3308750	0
3340000	0
3371250	0
3402500	0
3433750	0
3465000	0
3496250	0
3527500	0
3558750	0
3590000	0
3621250	0
3652500	0
3683750	0
3715000	0
3746250	0
3777500	0
3808750	0
3840000	0
3871250	0
3902500	0
3933750	0
3965000	0
3996250	0
4027500	0
4058750	0
4090000	0
4121250	0
4152500	0
4183750	0
4215000	0
4246250	0
4277500	0
4308750	0
4340000	0
4371250	0
4402500	0
4433750	0
4465000	0
4496250	0
4527500	0
4558750	0
4590000	0
4621250	0
4652500	0
4683750	0
4715000	0
4746250	0
4777500	0
4808750	0
4840000	0
4871250	0
4902500	0
4933750	0
4965000	0
4996250	0
5027500	0
5058750	0
5090000	0
5121250	0
5152500	0
5183750	0
5215000	0
5246250	0
5277500	0
5308750	0
5340000	0
5371250	0
5402500	0
5433750	0
5465000	0
5496250	0
5527500	0
5558750	0
5590000	0
5621250	0
5652500	0
5683750	0
5715000	0
5746250	0
5777500	0
5808750	0
5840000	0
5871250	0
5902500	0
5933750	0
5965000	0
5996250	0
6027500	0
6058750	0
6090000	0
6121250	0
6152500	0
6183750	0
6215000	0
6246250	0
6277500	0
6308750	0
6340000	0
6371250	0
6402500	0
6433750	0
6465000	0
6496250	0
6527500	0
6558750	0
6590000	0
6621250	0
6652500	0
6683750	0
6715000	0
6746250	0
6777500	0
6808750	0
6840000	0
6871250	0
6902500	0
6933750	0
6965000	0
6996250	0
7027500	0
7058750	0
7090000	0
7121250	0
7152500	0
7183750	0
7215000	0
7246250	0
7277500	0
7308750	0
7340000	0
7371250	0
7402500	0
7433750	0
7465000	0
7496250	0
7527500	0
7558750	0
7590000	0
7621250	0
7652500	0
7683750	0
7715000	0
7746250	0
7777500	0
7808750	0
7840000	0
7871250	0
7902500	0
7933750	0
7965000	0
7996250	0
8027500	0
8058750	0
8090000	0
8121250	0
8152500	0
8183750	0
8215000	0
8246250	0
8277500	0
8308750	0
8340000	0
8371250	0
8402500	0
8433750	0
8465000	0
8496250	0
8527500	0
8558750	0
8590000	0
8621250	0
8652500	0
8683750	0
8715000	0
8746250	0
8777500	0
8808750	0
8840000	0
8871250	0
8902500	0
8933750	0
8965000	0
8996250	0
9027500	0
9058750	0
9090000	0
9121250	0
9152500	0
9183750	0
9215000	0
9246250	0
9277500	0
9308750	0
9340000	0
9371250	0
9402500	0
9433750	0
9465000	0
9496250	0
9527500	0
9558750	0
9590000	0
9621250	0
9652500	0
9683750	0
9715000	0
9746250	0
9777500	0
9808750	0
9840000	0
9871250	0
9902500	0
9933750	0
9965000	0
9996250	0
10027500	0
10058750	0
10090000	0
10121250	0
10152500	0
10183750	0
10215000	0
10246250	0
10277500	0
10308750	0
10340000	0
10371250	0
10402500	0
10433750	0
10465000	0
10496250	0
10527500	0
10558750	0
10590000	0
10621250	0
10652500	0
10683750	0
10715000	0
10746250	0
10777500	0
10808750	0
10840000	0
10871250	0
10902500	0
10933750	0
10965000	0
10996250	0
11027500	0
11058750	0
11090000	0
11121250	0
11152500	0
11183750	0
11215000	0
11246250	0
11277500	0
11308750	0
11340000	0
11371250	0
11402500	0
11433750	0
11465000	0
11496250	0
11527500	0
